f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
1.0485246,1.054526,1.0482965,1.0596993,1.0674193,1.0684041,0.65335375,0.121437445,0.121094786,0.18309826,0.06200348,0.030830408,-0.15675183,1.0,3
1.054526,1.0482965,1.0596993,1.0674193,1.0684041,0.65335375,0.121437445,0.121094786,0.18309826,0.6654468,0.48234856,0.27217603,0.18133646,1.0,3
1.0482965,1.0596993,1.0674193,1.0684041,0.65335375,0.121437445,0.121094786,0.18309826,0.6654468,0.8394359,0.17398906,0.3281688,0.23944703,0.0,0
1.0596993,1.0674193,1.0684041,0.65335375,0.121437445,0.121094786,0.18309826,0.6654468,0.8394359,0.91263896,0.07320312,0.12359609,0.24318025,0.0,0
1.0674193,1.0684041,0.65335375,0.121437445,0.121094786,0.18309826,0.6654468,0.8394359,0.91263896,0.95570725,0.043068238,0.058135677,0.09675347,0.0,0
1.0684041,0.65335375,0.121437445,0.121094786,0.18309826,0.6654468,0.8394359,0.91263896,0.95570725,0.9842606,0.0285534,0.03581082,0.04827492,0.0,0
0.65335375,0.121437445,0.121094786,0.18309826,0.6654468,0.8394359,0.91263896,0.95570725,0.9842606,0.99922985,0.014969198,0.021761298,0.028863613,0.0,0
0.121437445,0.121094786,0.18309826,0.6654468,0.8394359,0.91263896,0.95570725,0.9842606,0.99922985,1.0409938,0.041764025,0.02836661,0.028428873,0.0,0
0.121094786,0.18309826,0.6654468,0.8394359,0.91263896,0.95570725,0.9842606,0.99922985,1.0409938,1.0525054,0.0115114795,0.026637752,0.022748234,0.0,0
0.18309826,0.6654468,0.8394359,0.91263896,0.95570725,0.9842606,0.99922985,1.0409938,1.0525054,1.0390352,-0.0134700965,-0.0009793084,0.013268469,0.0,0
0.6654468,0.8394359,0.91263896,0.95570725,0.9842606,0.99922985,1.0409938,1.0525054,1.0390352,1.0369267,-0.0021084826,-0.0077892896,-0.0013556997,0.0,0
0.8394359,0.91263896,0.95570725,0.9842606,0.99922985,1.0409938,1.0525054,1.0390352,1.0369267,1.0553254,0.018398639,0.008145078,0.0009400197,0.0,0
0.91263896,0.95570725,0.9842606,0.99922985,1.0409938,1.0525054,1.0390352,1.0369267,1.0553254,1.0883877,0.03306233,0.025730483,0.016450828,0.0,0
0.95570725,0.9842606,0.99922985,1.0409938,1.0525054,1.0390352,1.0369267,1.0553254,1.0883877,1.0927094,0.0043216613,0.018691996,0.01859421,0.0,0
0.9842606,0.99922985,1.0409938,1.0525054,1.0390352,1.0369267,1.0553254,1.0883877,1.0927094,1.091343,-0.0013662883,0.0014776865,0.012005901,0.0,0
0.99922985,1.0409938,1.0525054,1.0390352,1.0369267,1.0553254,1.0883877,1.0927094,1.091343,1.0958686,0.0045255343,0.001579623,0.0024936358,0.0,0
1.0409938,1.0525054,1.0390352,1.0369267,1.0553254,1.0883877,1.0927094,1.091343,1.0958686,1.098452,0.0025832907,0.0035544124,0.0019141788,0.0,0
1.0525054,1.0390352,1.0369267,1.0553254,1.0883877,1.0927094,1.091343,1.0958686,1.098452,1.0947168,-0.0037350715,-0.0005758904,0.0011245845,0.0,0
1.0390352,1.0369267,1.0553254,1.0883877,1.0927094,1.091343,1.0958686,1.098452,1.0947168,1.075999,-0.018717822,-0.011226446,-0.0066232006,0.0,0
1.0369267,1.0553254,1.0883877,1.0927094,1.091343,1.0958686,1.098452,1.0947168,1.075999,1.015761,-0.060237978,-0.0394779,-0.027563624,0.0,0
1.0553254,1.0883877,1.0927094,1.091343,1.0958686,1.098452,1.0947168,1.075999,1.015761,0.961913,-0.05384804,-0.05704301,-0.044267945,0.0,0
1.0883877,1.0927094,1.091343,1.0958686,1.098452,1.0947168,1.075999,1.015761,0.961913,0.9157159,-0.046197135,-0.050022587,-0.05342772,0.0,0
